instance,source,scenario_index,depot_internal,truck_walk_eval_preferred,truck_assigned_demands,drone_sequence_spt,drone_assigned_demands,drone_arrival_time
Instance6,table3_existing,8,16,"[16, 2, 2]",,"[7, 0, 5, 6, 10, 9, 13]",,
Instance6,table3_existing,9,15,"[15, 1, 12, 8]",,"[3, 14, 4, 11]",,
Instance6,table3_existing,9,16,"[16, 7, 2, 0, 5, 6, 6, 10, 9]",,[13],,
Instance6,table3_paper_exact_repaired,0,15,"[15, 3, 1, 12, 8, 4, 15]",,"[14, 11]",,
Instance6,table3_paper_exact_repaired,0,16,"[16, 7, 2, 0, 5, 6, 10, 9, 10, 6, 16]",,[13],,
Instance6,table3_paper_exact_repaired,1,15,"[15, 3, 15]",,"[14, 1, 4, 11, 8, 12]",,
Instance6,table3_paper_exact_repaired,1,16,"[16, 7, 2, 16]",,"[0, 5, 6, 10, 9, 13]",,
Instance6,table3_paper_exact_repaired,2,15,"[15, 1, 12, 8, 4, 15]",,"[3, 14, 11]",,
Instance6,table3_paper_exact_repaired,2,16,"[16, 7, 2, 5, 6, 10, 9, 10, 6, 16]",,"[0, 13]",,
Instance6,table3_paper_exact_repaired,3,15,"[15, 3, 1, 12, 8, 4, 15]",,"[14, 11]",,
Instance6,table3_paper_exact_repaired,3,16,"[16, 7, 2, 0, 5, 6, 10, 9, 10, 6, 16]",,[13],,
Instance6,table3_paper_exact_repaired,4,15,"[15, 3, 15]",,"[14, 1, 4, 11, 8, 12]",,
Instance6,table3_paper_exact_repaired,4,16,"[16, 7, 16]",,"[2, 0, 5, 6, 10, 9, 13]",,
